Company_Id,SCompanyName,FCompanyName,GroupCStaus,ParentCompany,FormerlyCalled,Permissions1,UserStatus,Industry,Sector,SubSector,BusinessDesc,Brands,Country,RegionId_FK,IncorpYear,ListingStatus,StockBSE,StockNSE,IPODate,AddressHead,AddressLine2,City,State,Pincode,AddressCountry,Phone,Fax,Email,Website,LinkedIn,google_fetched_website,Contact Name,Designation,Auditor,rgthcr,Profile_Flag,Added_Date,DealUrl,competitorsListed,competitorsUnListed,otherCompareListed,otherCompareUnListed,FYCount,GFYCount,cvid,CIN,Total_Income_equal_OpIncome
,ADHIRAJ DISTRIBUTORS ,ADHIRAJ DISTRIBUTORS LIMITED,Standalone,,,Non-Transacted,0,17,525,,"Retail Sale Of Clothing, Footwear And Leather Articles In Specialized Stores",,113,,2011,Listed,,,,105/5/1 Kshetra Banerjee Lane,,253,28,711102,113,033 2211 0040,,info@adhirajdistributors.com,www.adhirajdistributors.com,,,Srikrishan Churiwala,Managing Director,,,,,,,,,,,,,L52190WB2011PLC158320,
,JLA INFRAVILLE SHOPPERS ,JLA INFRAVILLE SHOPPERS LIMITED,Standalone,,,Non-Transacted,0,17,525,,"Retail Trade, Except Of Motor Vehicles And Motorcycles",,113,,2013,Listed,,,,36 Aarush,,43,12,560103,113,080-64500131,,jisl@infraville.com,www.infraville.com,,,Vivek Gupta,Managing Director,,,,,,,,,,,,,L52390KA2013PLC071372,
,POCL ENTERPRISES ,POCL ENTERPRISES LIMITED,Standalone,,,Non-Transacted,0,13,393,,"Manufacturing Of Lead, Zinc And Tin Products And Alloys",,113,,1988,Listed,,,,"New No. 4, Old No. 319,",,88,24,600034,113,91-44-49145454,91-44-49145455,info@pocl.co.in,www.poel.in,,,Devakar Bansal,Managing Director,,,,,,,,,,,,,L52599TN1988PLC015731,
,WONDERLA HOLIDAYS ,WONDERLA HOLIDAYS LIMITED,Standalone,,,Non-Transacted,0,14,445,,Activities Of Amusement Parks And Theme Parks,,113,,2002,Listed,,,,28th K M,,43,12,562109,113,91-080-22010333,91-080-22010324,santoshbarik@wonderla.com,www.wonderla.com,,,Arun K Chittilappilly,Managing Director,,,,,,,,,,,,,L55101KA2002PLC031224,
,COFFEE DAY ENTERPRISES ,COFFEE DAY ENTERPRISES LIMITED,Standalone,,,Non-Transacted,0,17,525,,"Retail Sale Of Cereals And Pulses, Tea, Coffee, Spices And Flour",,113,,2008,Listed,,,,No. 23/2 Coffee Day Square,,43,12,560001,113,+91 80 4001 2345,080-40012650,investors@coffeeday.com,www.coffeeday.com,,,V G Siddhartha,Managing Director,,,,,,,,,,,,,L55101KA2008PLC046866,
,VIDLI RESTAURANTS ,VIDLI RESTAURANTS LIMITED,Standalone,,,Non-Transacted,0,11,36,,Restaurants And Mobile Food Service Activities,,113,,2007,Listed,,,,"Office No. 704, 7th Floor",,67,15,400059,113,022 – 6697 8736,,cs@kamatsrestaurants.com,www.kamatsrestaurants.com,,,Vidhi V Kamat,Managing Director,,,,,,,,,,,,,L55101MH2007PLC173446,
,WEST LEISURE RESORTS ,WEST LEISURE RESORTS LIMITED,Standalone,,,Non-Transacted,0,16,392,,Wholesale Of Metals And Metal Ores,,113,,2008,Listed,,,,"10, Kitab Mahal, 2nd Floor",,67,15,400001,113,022-23686617 ,022-23684644,ho@hawcoindia.com,www.westleisureresort.co.in,,,Chandra Kant Khaitan,CFO,,,,,,,,,,,,,L55101MH2008PLC177941,
,MANSINGH HOTELS AND RESORTS ,MANSINGH HOTELS AND RESORTS LIMITED,Standalone,,,Non-Transacted,0,11,36,,"Hotels And Motels, Inns, Resorts Providing Short Term Lodging Facilities; Includes Accommodation In House Boats",,113,,1970,Listed,,,,Sansar Chandra Road,,85,22,302001,113,0141-2378771,,accounts.delhi@mansinghhotels.com/investors@mansinghhotels.com,www.mansinghhotels.com,,,Chief Financial Officer,Managing Director,,,,,,,,,,,,,L55101RJ1970PLC001294,
,BRAHMAPUTRA INFRASTRUCTURE ,BRAHMAPUTRA INFRASTRUCTURE LIMITED,Standalone,,,Non-Transacted,0,6,223,,Civil Engineering,,113,,1998,Listed,,,,Brahmaputra House,,20,33,110037,113,91-11-42290200,91-11-41687880 / 2678 7068,cs@brahmaputragroup.com,www.brahamputra.com,,,Sanjeev Kumar Prithani,Managing Director,,,,,,,,,,,,,L55204DL1998PLC095933,
,INTERGLOBE AVIATION ,INTERGLOBE AVIATION LIMITED,Standalone,,,Non-Transacted,0,22,197,,Passenger Airways,,113,,2004,Listed,,,,"Central Wing, Ground Floor",,20,33,110001,113,011 - 65000428,011 - 4351 3200,investors@goindigo.in,www.goindigo.in,,,Riyaz Haider Peer Mohamed CFA,CFO,,,,,,,,,,,,,L62100DL2004PLC129768,
,NAVKAR CORPORATION ,NAVKAR CORPORATION LIMITED,Standalone,,,Non-Transacted,0,18,381,,Warehousing And Storage,,113,,2008,Listed,,,,"205 - 206 , J K Chambers",,132,15,400703,113,022-27668223,022-27668238,cs@navkarcfs.com,www.navkarcfs.com,,,Shantilal Jayavantraj Mehta,Managing Director,,,,,,,,,,,,,L63000MH2008PLC187146,
,VMV HOLIDAYS ,VMV HOLIDAYS LIMITED,Standalone,,,Non-Transacted,0,22,387,,Travel Agency Activities,,113,,2010,Listed,,,,"18, Giri Babu Lane",,109,28,700012,113,033-40060699,,vmvholidays.sme@gmail.com,www.vmvholidays.com,,,Himanshu Jha ,CFO,,,,,,,,,,,,,L63090WB2010PLC151907,
,KALINDEE RAIL NIRMAN (ENGINEERS) ,KALINDEE RAIL NIRMAN (ENGINEERS) LIMITED,Standalone,,,Non-Transacted,0,6,223,,Construction And Maintenance Of Railways And Rail-Bridges,,113,,1984,Listed,,,,"F-5, Gautam Nagar",,20,33,110049,113,"011-32947325,26857375  ",011-26851279,investorgrievance@kalindee.net/info@kalindee.net,www.kalindee.net,,,Sandeep fuller,Managing Director,,,,,,,,,,,,,L64120DL1984PLC114336,
,BHARTI INFRATEL ,BHARTI INFRATEL LIMITED,Standalone,,,Non-Transacted,0,20,586,,Wireless Telecommunications Activities,,113,,2006,Listed,,,,Bharti Crescent,,20,33,110070,113,91-011-4666 6100,91-011-4166 6137,Shweta.Girotra@bharti.in,www.bharti-infratel.com,,,DS Rawat,Managing Director,,,,,,,,,,,,,L64201DL2006PLC156038,
,INFIBEAM INCORPORATION ,INFIBEAM INCORPORATION LIMITED,Standalone,,,Non-Transacted,0,12,8,,Providing Software Support And Maintenance To The Clients,,113,,2010,Listed,,,,"9th Floor, “ A ” Wing, Gopal Palace",,23,7,380015,113,079 4040 3600,079 4040 3636,ir@infibeam.ooo,www.infibeam.ooo,,,Vishal Mehta,Managing Director,,,,,,,,,,,,,L64203GJ2010PLC061366,
,NISHTHA FINANCE AND INVESTMENT (INDIA) ,NISHTHA FINANCE AND INVESTMENT (INDIA) LIMITED,Standalone,,,Non-Transacted,0,2,237,Financial Services,Other Financial Activities,,113,,1983,Listed,,,,"B-12, 45-a",,20,33,110092,113,011-42610242,,nishtha.finvest@gmail.com,www.nfandiltd.com,,,Ashishbhai Jitendrabhai Joshi,Managing Director,,,,,,,,,,,,,L65100DL1983PLC016946,
,JAISUKH DEALERS ,JAISUKH DEALERS LIMITED,Standalone,,,Non-Transacted,0,16,392,,"Wholesale Of Textiles, Fabrics, Yarn, Household Linen, Articles Of Clothing, Floor Coverings And Tapestry, Sports Clothes",,113,,2005,Listed,,,,"Centre Point, 2nd Floor",,109,28,700001,113,91-033-3028-7789,91-033-3028-7788,jaisukh21@yahoo.com,www.jaisukh.com,,,Kishan Kumar Jajodia,Managing Director,,,,,,,,,,,,,L65100WB2005PLC101510,
,VIBRANT GLOBAL CAPITAL ,VIBRANT GLOBAL CAPITAL LIMITED,Standalone,,,Non-Transacted,0,2,237,Financial Services,"Other Financial Service Activities, Except Insurance And Pension Funding Activities, N.E.C.",,113,,1995,Listed,,,,"Unit No. 202, Peninsula Business Park",,67,15,400013,113,+91-22-41731000,+91-22-41731010,investor@vibrantglobalgroup.com,,,,Vinod Garg,Managing Director,,,,,,,,,,,,,L65900MH1995PLC093924,
,SABRIMALA INDUSTRIES INDIA ,SABRIMALA INDUSTRIES INDIA LIMITED,Standalone,,,Non-Transacted,0,17,525,,Retail Sale Of Telecommunication Equipment,,113,,1984,Listed,,,,"1452, Aggarwal Metro Heights ",,20,33,110034,113,,,cmedia59@gmail.com,,,,Sanjay Garg,Managing Director,,,,,,,,,,,,,L65910DL1984PLC018467,
,KM CAPITAL ,KM CAPITAL LIMITED,Standalone,,,Non-Transacted,0,2,237,,Activities Auxiliary To Financial Service Activities N.E.C.,,113,,1992,Listed,,,,"405, Skylark Building, 60, Nehru Place, New Delhi, Delhi 110019",,20,33,110019,113,011-40532002,-- ,kmcapitalltd@gmail.com,www.kmcapital.in,,,Anil Kumar Aggarwal ,Director,,,,,,,,,,,,,L65910DL1992PLC048421,
,SATKAR FINLEASE ,SATKAR FINLEASE LIMITED,Standalone,,,Non-Transacted,0,2,237,,"To carry on the business of all and every kinds of hire-purchase finance, lease finance, bridge Finance, deferred payment finance and/or to finance all kind of purchasing, selling, hiring or letting on hire all kinds   of   plant   and machinery,   automotive   vehicles   like   two-wheelers, vans,   motors,   trucks, equipments, computers, consumer goods, articles, Commodities, immoveable or moveable properties including land and building.",,113,,1996,Listed,,,,"829, Laxmideep Building",,20,33,110092,113,+91-11- 329337170,+91-11-329337170,satkarfinlease@yahoo.com,www.satkarfinlease.com,,,Mr.Roop Singh,Director,,,,,,,,,,,,,L65910DL1996PLC075394,
,NETWORK 18 MEDIA & INVESTMENT ,NETWORK 18 MEDIA & INVESTMENT LIMITED,Standalone,,,Non-Transacted,0,14,615,,Television Programming And Broadcasting Activities,,113,,1996,Listed,,,,"First Floor, Empire Complex",,67,15,400013,113,+91-22-4001-9000,+91-22-6654-6925,investors.n18@network18online.com,www.network18online.com,,,Ramesh Kumar Damani,CFO,,,,,,,,,,,,,L65910DL1996PLC076419,
,AMRAPALI CAPITAL & FINANCE SERVICES ,AMRAPALI CAPITAL & FINANCE SERVICES LIMITED,Standalone,,,Non-Transacted,0,2,237,,Security And Commodity Contracts Brokerage,,113,,1994,Listed,,,,"Shop No. 3, Ground Floor",,112,31,396230,113,+91-26 0263 3291,,acfsl@amrapali.com,www.amrapali.com,,,Chirag Thakkar,Managing Director,,,,,,,,,,,,,L65910DN1994PLC000362,
,ZUARI AGRO CHEMICALS ,ZUARI AGRO CHEMICALS LIMITED,Standalone,,,Non-Transacted,0,13,183,,Manufacture Of Urea And Other Organic Fertilizers,,113,,2009,Listed,,,,Jai Kissan Bhawan,,21,6,403726,113,91-0832-2592180/81,91-0832-2555279,shares@zuari.adventz.com ; investor.relations @zuari.adventz.com,www.zuari.in,,,Kapil Mehan,Managing Director,,,,,,,,,,,,,L65910GA2009PLC006177,
,ALEXANDER STAMPS AND COIN ,ALEXANDER STAMPS AND COIN LIMITED,Standalone,,,Non-Transacted,0,2,237,,Other Monetary Intermediation Services N.E.C.,,113,,1992,Listed,,,,"10, S.b., Maheshwar Darshan Building",,67,15,400054,113,     ,-- ,rudrakshcaptech@gmail.com,www.rudrakshcap-tech.com,,,Pragnesh R Pandya,CEO,,,,,,,,,,,,,L65910GJ1992PLC093816,
,KARNAVATI FINANCE ,KARNAVATI FINANCE LIMITED,Standalone,,,Non-Transacted,0,2,237,,Other Credit Granting,,113,,1984,Listed,,,,Unit No . 2 ,,67,15,400092,113,+91-022-31908900,,karnavatifinance@gmail.com,www.karnavatifinancelimited.in,,,Jay Morzaria,Managing Director,,,,,,,,,,,,,L65910MH1984PLC034724,
,CANOPY FINANCE ,CANOPY FINANCE LIMITED,Standalone,,,Non-Transacted,0,2,237,,"Financial Service Activities, Except Insurance And Pension Funding",,113,,1981,Listed,,,,196/ C,,109,28,700007,113,033-65027275,,info@kartavya.info,www.kartavya.info,,,Ashish Trivedi,Managing Director,,,,,,,,,,,,,L65910WB1981PLC033821,
,SAHYOG MULTIBASE ,SAHYOG MULTIBASE LIMITED,Standalone,,,Non-Transacted,0,2,237,,Other Credit Granting,,113,,2002,Listed,,,,"D-13, Bhagwan Dass Nagar",,20,33,110026,113,,,sahyogcreditslimited@yahoo.in,www.sahyogcredits.com  ,,,Karan Kapoor,Managing Director,,,,,,,,,,,,,L65921DL1992PLC116773,
,ASHARI AGENCIES ,ASHARI AGENCIES LIMITED,Standalone,,,Non-Transacted,0,2,237,,"Financial Service Activities, Except Insurance And Pension Funding",,113,,1985,Listed,,,,"601, ",,100,27,201001,113,0120-4122041,0120-4569968,godgift3000@gmail.com,www.ashariagencies.in,,,Kamlesh Kumar ,CFO,,,,,,,,,,,,,L65921UP1985PLC007030,
,INDIA FINSEC ,INDIA FINSEC LIMITED,Standalone,,,Non-Transacted,0,2,237,,"Financial Service Activities, Except Insurance And Pension Funding",,113,,1994,Listed,,,,"D-16, First Floor",,20,33,110085,113,011- 4580 5612 / 4752 7593/09350655363,011-2702905,indiafinsec@yahoo.com/indiafinsec@gmail.com,www.indiafinsec.com,,,Gopal Bansal,Managing Director,,,,,,,,,,,,,L65923DL1994PLC060827,
,GCM CAPITAL ADVISORS ,GCM CAPITAL ADVISORS LIMITED,Standalone,,,Non-Transacted,0,2,237,,Administration Of Financial Markets,,113,,2013,Listed,,,,"805, 214 Raheja Centre",,67,15,400021,113,,,gcmcap@gmail.com,,,,Samir Baid,Managing Director,,,,,,,,,,,,,L65923MH2013PLC243163,
,JINDAL POLY INVESTMENT AND FINANCE COMPANY ,JINDAL POLY INVESTMENT AND FINANCE COMPANY LIMITED,Standalone,,,Non-Transacted,0,2,237,,"Financial Service Activities, Except Insurance And Pension Funding",,113,,2012,Listed,,,,19th K M Hapur,,403,27,203408,113,011-26139256,011-26121734,secretarial_investments@jindalgroup.com,www.jindalgroup.com,,,GD Singal,Managing Director,,,,,,,,,,,,,L65923UP2012PLC051433,
,KAPIL RAJ FINANCE ,KAPIL RAJ FINANCE LIMITED,Standalone,,,Non-Transacted,0,2,237,Financial Services,"Other Financial Service Activities, Except Insurance And Pension Funding Activities, N.E.C.",,113,,1985,Listed,,,,"8/33, 3rd Floor ",,20,33,110005,113,+91-9892627952,,kapilrajfinanceltd@gmail.com,www.kapilrajfinanceltd.com,,,Atul Chimanlal Doshi,Managing Director,,,,,,,,,,,,,L65929DL1985PLC022788,
,LADAM AFFORDABLE HOUSING ,LADAM AFFORDABLE HOUSING LIMITED,Standalone,,,Non-Transacted,0,27,571,,The Company intends to monitories its real estate assets by construction of mass housing project foraffordable housingThe Company intends to monitories its real estate assets by construction of mass housing project foraffordable housingThe Company intends to monitories its real estate assets by construction of mass housing project foraffordable housingThe Company intends to monitories its real estate assets by construction of mass housing project foraffordable housingThe Company intends to monitories its real estate assets by construction of mass housing project foraffordable housingThe Company intends to monitories its real estate assets by construction of mass housing project foraffordable housingThe Company intends to monitories its real estate assets by construction of mass housing project foraffordable housingThe Company intends to monitories its real estate assets by construction of mass housing project foraffordable housingThe Company intends to monitories its real estate assets by construction of mass housing project foraffordable housingThe Company intends to monitories its real estate assets by construction of mass housing project foraffordable housingThe Company intends to monitories its real estate assets by construction of mass housing project foraffordable housingThe Company intends to monitories its real estate assets by construction of mass housing project foraffordable housing,,113,,1979,Listed,,,,"Plot No. C-33, Road No. 28",,74,15,400604,113,+91-71191000/001 ,,info@ladamaffordablehousing.com,www.ladamaffordablehousing.com,,,Prashant Shinkar,CFO,,,,,,,,,,,,,L65990MH1979PLC021923,
,MONEY MASTERS LEASING & FINANCE ,MONEY MASTERS LEASING & FINANCE LIMITED,Standalone,,,Non-Transacted,0,2,237,,Financial Leasing,,113,,1994,Listed,,,,"4 Akash Deep, Ground Floor",,67,15,400054,113,"022- 26103848, 26180202",,mm.moneymasters@gmail.com,www.moneymasters.in,,,Hozef Abdulhussain Darukhanawala,Managing Director,,,,,,,,,,,,,L65990MH1994PLC082399,
,BLUE CHIP INDIA ,BLUE CHIP INDIA LIMITED,Standalone,,,Non-Transacted,0,2,237,Financial Services,"Other Financial Service Activities, Except Insurance And Pension Funding Activities, N.E.C.",,113,,1993,Listed,,,,2nd Floor,,109,28,700072,113,033-4002-2880,033- 22379053  ,info@bluechipind.net,www.bluechipind.net,,,Arihant Jain,Managing Director,,,,,,,,,,,,,L65991WB1993PLC060597,
,PNEUMATIC HOLDINGS ,PNEUMATIC HOLDINGS LIMITED,Standalone,,,Non-Transacted,0,16,205,,Renting And Leasing Of Motor Vehicles,,113,,2014,Listed,,,,"Survey No-13,156",,70,15,411029,113,+91-20-25453002,+91-20-25434262,aniket.deshpande@kirloskar.com,www.pneumaticholdings.com,,,Ms. Vinaya V. Wagh,CFO,,,,,,,,,,,,,L65993PN2014PLC152566,
,WELLNESS NONI ,WELLNESS NONI LIMITED,Standalone,,,Non-Transacted,0,7,174,,"Manufacture Of Fruit Or Vegetable Juices And Their Concentrates, Squashes And Powder",,113,,1992,Listed,,,,"12, Rajiv Gandhi Road",,88,24,600096,113,044- 3257 6748,044-4901 1149,mail@wellnessnoni.net,www.wellnessnoni.net,,,P I Peter,Managing Director,,,,,,,,,,,,,L65993TN1992PLC023697,
,SVARNIM TRADE UDYOG ,SVARNIM TRADE UDYOG LIMITED,Standalone,,,Non-Transacted,0,16,392,,"To carry on the business of dealers, general order suppliers, contractors, importers, exporters, merchants stockiest, buyers, sellers, growers, agents, brokers, commission agents, and dealers in cotton, jute, tea, coffee, rubber, oil, grains, pulses, seeds, vegetable product, cotton goods, jute goods, textiles, garments, yarn, etc",,113,,1982,Listed,,,,12 Vinod Premji Ch,,67,15,400064,113,,,svarnimudyog@gmail.com,www.svarnim.com,,,Devendra Thard,Chairman,,,,,,,,,,,,,L65993WB1982PLC035067,
,MUDRA FINANCIAL SERVICES ,MUDRA FINANCIAL SERVICES LIMITED,Standalone,,,Non-Transacted,0,2,237,,To Carry on the business of rendering all kinds of financial services,,113,,1994,Listed,,,,"3rd Floor, Vaastu Darshan",,67,15,400069,113,91-022-61919222,91-022-26842221,mudrafinancial.1994@gmail.com,www.mudrafinancial.in,,,Dipen Maheshwari,Managing Director,,,,,,,,,,,,,L65999MH1994PLC079222,
,BHARAT FINANCIAL INCLUSION ,BHARAT FINANCIAL INCLUSION LIMITED,Standalone,,,Non-Transacted,0,2,237,,"Financial Service Activities, Except Insurance And Pension Funding",,113,,2003,Listed,,,,"Unit No. 410, “Madhava”,",,67,15,400051,113,022-26592375,,skscomplianceofficer@sksindia.com,www.sksindia.com,,,MR Rao,Managing Director,,,,,,,,,,,,,L65999MH2003PLC250504,
,ARYAMAN CAPITAL MARKETS ,ARYAMAN CAPITAL MARKETS LIMITED,Standalone,,,Non-Transacted,0,2,237,,Security And Commodity Contracts Brokerage,,113,,2008,Listed,,,,"Bandra-Kurla Complex,",,67,15,400001,113,91 – 22 – 22618635,91 22 22630434,aryacapm@gmail.com,www.afsl.co.in/Acml,,,Mr. Shripal Shah,Director,,,,,,,,,,,,,L65999MH2008PLC184939,
,SOUTHERN INFOSYS ,SOUTHERN INFOSYS LIMITED,Standalone,,,Non-Transacted,0,12,8,,"Computer Programming, Consultancy And Related Activities",,113,,1994,Listed,,,,"Bandra (East), Mumbai – 400 051.",,20,33,110001,113,91-011- 43045402/ 23354236,,southerninfosys@gmail.com,www.southerninfosys.com ,,,Indu Atri,CFO,,,,,,,,,,,,,L67120DL1994PLC059994,
,RACHANA CAPITAL & SECURITIES ,RACHANA CAPITAL & SECURITIES LIMITED,Standalone,,,Non-Transacted,0,2,237,Financial Services,"Other Financial Service Activities, Except Insurance And Pension Funding Activities",,113,,1992,Listed,,,,"903, D Tower",,33,7,390021,113,0265 3912220,,rachnacapital@gmail.com,rcasl.com,,,Mr. Sachin bhatt,CFO,,,,,,,,,,,,,L67120GJ1992PLC017397,
,INTERCONTINENTAL LEASING AND FINANCE ,INTERCONTINENTAL LEASING AND FINANCE LIMITED,Standalone,,,Non-Transacted,0,2,237,Financial Services,"Other Financial Service Activities, Except Insurance And Pension Funding Activities",,113,,1984,Listed,,,,"04, 2nd Floor, 174",,67,15,400002,113,,,roc.iclf@gmail.com,www.iclf.co.in,,,Bhupendra Thakur,Executive Director,,,,,,,,,,,,,L67120MH1984PLC269707,
,SPS FINQUEST ,SPS FINQUEST LIMITED,Standalone,,,Non-Transacted,0,2,237,Financial Services,"Other Financial Service Activities, Except Insurance And Pension Funding Activities",,113,,1996,Listed,,,,"R-514, 5th Floor",,67,15,400001,113,,,girish.jajoo@spsfinquest.co.in,www.spssharebrokers.com,,,Girish T Jajoo,Managing Director,,,,,,,,,,,,,L67120MH1996PLC098051,
,NAYSAA SECURITIES ,NAYSAA SECURITIES LIMITED,Standalone,,,Non-Transacted,0,2,237,,Security And Commodity Contracts Brokerage,,113,,2007,Listed,,,,102/104,,67,15,400062,113,+91-22-26791802,+91-22-26760202,naysaa@naysaasecurities.com,www.naysaasecurities.com,,,Mr. Vikram Jayantilal Lodha,Director,,,,,,,,,,,,,L67120MH2007PLC175208,
,PRIME CAPITAL MARKET ,PRIME CAPITAL MARKET LIMITED,Standalone,,,Non-Transacted,0,2,237,,Administration Of Financial Markets,,113,,1994,Listed,,,,Plot No.18a,,75,20,751014,113,,,dhruvonarayan.jha@rediffmail.com,,,,Sushil Kumar Purohit,Managing Director,,,,,,,,,,,,,L67120OR1994PLC003649,
,SRG SECURITIES FINANCE ,SRG SECURITIES FINANCE LIMITED,Standalone,,,Non-Transacted,0,2,237,Financial Services,"Other Financial Service Activities, Except Insurance And Pension Funding Activities",,113,,1995,Listed,,,,"322 S.M. Lodha Complex, ",,87,22,313001,113,+0294 – 2561882 / 2412609,+0294 – 5100098,srgsecurities@gmail.com,www.srgfin.com,,,Vinod K Jain,Managing Director,,,,,,,,,,,,,L67120RJ1995PLC009631,
,WESTERN INDIA COMMERCIAL CO ,WESTERN INDIA COMMERCIAL CO LIMITED,Standalone,,,Non-Transacted,0,2,237,Financial Services,"Other Financial Service Activities, Except Insurance And Pension Funding Activities",,113,,2001,Listed,,,,"Near Shastri Circle, ",,109,28,700001,113,033-22309601/ 22437725,033-22131650,westernindiacommercialcoltd@gmail.com,,,,Prashant Bangur ,Chairman,,,,,,,,,,,,,L67120WB1928PLC093924,
,RADHEY TRADE HOLDING ,RADHEY TRADE HOLDING LIMITED,Standalone,,,Non-Transacted,0,16,392,,Wholesale Of Other Clothing Items N.E.C.,,113,,1981,Listed,,,,Udaipur - 313001 ,,109,28,700001,113,033-6503 5881,,info@rholdings.org,www.rholdings.org   ,,,Pankaj Sharma,CFO,,,,,,,,,,,,,L67120WB1981PLC033991,
,SHEMAROO ENTERTAINMENT ,SHEMAROO ENTERTAINMENT LIMITED,Standalone,,,Non-Transacted,0,14,615,,"Motion Picture, Video And Television Programme Distribution Activities",,113,,2005,Listed,,,,"Rajasthan India,",,67,15,400059,113,+91 22 4031 9911,+91 22 2851 9770,shemaroo@shemaroo.com,www.shemarooent.com,,,Raman Maroo,Managing Director,,,,,,,,,,,,,L67190MH2005PLC158288,
,TIME PLUS SECURITIES & SERVICES ,TIME PLUS SECURITIES & SERVICES LIMITED,Standalone,,,Non-Transacted,0,2,237,,Administration Of Financial Markets,,113,,1981,Listed,,,,"H-38, L G F",,20,33,110014,113,011-43542277,,tarangini0123@gmail.com,www.taranginiinvestmentsltd.com,,,Bhagyashree Chordia,Managing Director,,,,,,,,,,,,,L67190TN1981PLC102219,
,UNISHIRE URBAN INFRA ,UNISHIRE URBAN INFRA LIMITED,Standalone,,,Non-Transacted,0,2,237,,Administration Of Financial Markets,,113,,1991,Listed,,,,"873, Block-a",,109,28,700089,113,033-3022 4841,033-3022 4842,info@unishire.com,www.unishire.com,,,Pratik K Mehta,Managing Director,,,,,,,,,,,,,L67190WB1991PLC051507,
,BDR BUILDCON ,BDR BUILDCON LIMITED,Standalone,,,Non-Transacted,0,6,223,,Construction Of Buildings,,113,,2010,Listed,,,,"31, Jangpura Road",,20,33,110014,113,+91 01126477771,011 24377204,info@bdrbuildcon.com,www.bdrbuildcon.com,,,Rajesh Gupta,Managing Director,,,,,,,,,,,,,L70100DL2010PLC200749,
,ALORA TRADING COMPANY ,ALORA TRADING COMPANY LIMITED,Standalone,,,Non-Transacted,0,2,237,Financial Services,"Other Financial Service Activities, Except Insurance And Pension Funding Activities",,113,,1982,Listed,,,,7 Old Bst Office Street,,109,28,700001,113,022-25905058 / 022-25905055,,aloratradingco@gmail.com,www.aloratradingltd.com,,,Mr. Navin Devji Rathod,Managing Director,,,,,,,,,,,,,L70100WB1982PLC035136,
,ATISHAY ,ATISHAY LIMITED,Standalone,,,Non-Transacted,0,12,8,,"Computer Programming, Consultancy And Related Activities",,113,,2000,Listed,,,,"Office No. 7, 8th Floor",,67,15,400008,113,+91 – 22 – 6666 6618,,compliance@atishay.com,www.atishay.com,,,Akhilesh Jain,Managing Director,,,,,,,,,,,,,L70101MH2000PLC192613,
,PREMIER CHENNAI PROPERTIES ,PREMIER CHENNAI PROPERTIES LIMITED,Standalone,,,Non-Transacted,0,6,223,,Other Specialized Construction Activities,,113,,2007,Listed,,,,"498, Karumuttu Centre",,88,24,600035,113,,,vinod.thomas@ilfsindia.com,www.premierchennai.co.in,,,Suresh Kootala,Managing Director,,,,,,,,,,,,,L70101TN2007PLC065552,
,SHRI KRISHNA PRASADAM ,SHRI KRISHNA PRASADAM LIMITED,Standalone,,,Non-Transacted,0,16,392,,Wholesale Of Cereals & Pulses,,113,,2009,Listed,,,,"C-214, Iind Floor ",,20,33,110030,113,,,shrikprasadam@gmail.com,www.shrikrishnaprasadam.com,,,Vidyanand Yadav,CFO,,,,,,,,,,,,,L70200DL2009PLC190708,
,MAJESTIC RESEARCH SERVICES AND SOLUTIONS ,MAJESTIC RESEARCH SERVICES AND SOLUTIONS LIMITED,Standalone,,,Non-Transacted,0,16,599,,Market Research And Public Opinion Polling,,113,,2012,Listed,,,,"2nd Floor, Kalpak Arcade",,43,12,560001,113,080-41757500,080-41757500,info@mrssindia.com,www.mrssindia.com,,,Sarang Jayant Panchal,Managing Director,,,,,,,,,,,,,L72200KA2012PLC063818,
,COSYN ,COSYN LIMITED,Standalone,,,Non-Transacted,0,12,8,,"Computer Programming, Consultancy And Related Activities",,113,,1994,Listed,,,,6-1-85/10 ,,3,1,500004,113,+91-040-2323 0305/2323 0306,+91-040-2323 0313,comsec@csstechnergy.com,www.csstechnergy.com,,,Ravi Vishnu,Managing Director,,,,,,,,,,,,,L72200TG1994PLC017415,
,SPACENET ENTERPRISES INDIA ,SPACENET ENTERPRISES INDIA LIMITED,Standalone,,,Non-Transacted,0,24,378,,Advertising,,113,,2010,Listed,,,,"Flat No. 302, Lotus Block, Block- B",,3,1,500089,113,040 2354 8353,040 2354 8537, cs@spacenetent.com cs@spacenetent.com cs@spacenetent.com cs@spacenetent.com cs@spacenetent.com cs@spacenetent.com cs@spacenetent.com cs@spacenetent.com cs@spacenetent.com cs@spacenetent.com,www.spacenetent.com,,,Venkat S Meenavalli,CEO,,,,,,,,,,,,,L72200TG2010PLC068624,
,GRACIOUS SOFTWARE ,GRACIOUS SOFTWARE LIMITED,Standalone,,,Non-Transacted,0,12,8,,"Computer Programming, Consultancy And Related Activities",,113,,2007,Listed,,,,"G-6 Ground Floor, House No. 4346 ",,20,33,110002,113,91-11-32931123,91-11-32931123,gracious_software@yahoo.com,www.gracsoft.com,,,Ajay Bansal,Director,,,,,,,,,,,,,L72300DL2007PLC168989,
