Company_Id,SCompanyName,FCompanyName,GroupCStaus,ParentCompany,FormerlyCalled,Permissions1,UserStatus,Industry,Sector,SubSector,BusinessDesc,Brands,Country,RegionId_FK,IncorpYear,ListingStatus,StockBSE,StockNSE,IPODate,AddressHead,AddressLine2,City,State,Pincode,AddressCountry,Phone,Fax,Email,Website,LinkedIn,google_fetched_website,GroupCStaus,ParentCompany,FormerlyCalled,Permissions1,UserStatus,Industry,Sector,SubSector,BusinessDesc,Brands,Country,RegionId_FK,IncorpYear,ListingStatus,StockBSE,StockNSE,IPODate,AddressHead,AddressLine2,City,State,Pincode,AddressCountry,Phone,Fax,Email,Website,LinkedIn,google_fetched_website,Contact Name,Designation,,rgthcr,Profile_Flag,Added_Date,DealUrl,competitorsListed,competitorsUnListed,otherCompareListed,otherCompareUnListed,FYCount,GFYCount,cvid,CIN,Total_Income_equal_OpIncome
,,,,,,,,,,,,,,,2009,Listed,,,,"No. 208, Velachery, Tambaram Road",,88,24,600100,113,91-044-43453000,91-044-43453202,investorservices@indianterrain.com,www.indianterrain.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1990,Listed,,,,10.5 K M ,,287,27,244901,113,9219410588,,info@indiantoners.com,www.indiantonners.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1919,Listed,,,,9 Brabourne Road,,109,28,700001,113,033 3252 3820,033  2242-6799,iwpcal1@cal2.vsnl.net.in,www.iwpkatha.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1995,Listed,,,,Navjivan Commercial Premises Co-op. Soc. Ltd,,67,15,400008,113,,,iccl22@yahoo.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1931,Listed,,,,601/602 Sukh Sagar,,67,15,400007,113,022-66188800    ,0-22-66188899  ,investorrelations@indianivesh.in,www.indianivesh.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1986,Listed,,,,"7 & 8 - B , 2nd Floor",,67,15,400054,113,9820308732,,ohminditalia@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1994,Listed,,,,X X X V I - 202,,54,13,682024,113,0484 3006000,0484 2409922,jrg@inditrade.com,www.inditrade.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1979,Listed,,,,606,,19,33,110001,113,91-11-51540060-62,91-11-51540063,,www.indoalusys.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1961,Listed,,,,Elegant Towers,,109,28,700017,113,033-22895160,033-22894562,a.upadhyay@spsgroup.co.in ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1992,Listed,,,,W-44,,74,15,421204,113,0251-2471354/2870941/2873052,0251 287 1635/287 1666,shares@indoaminesltd.com,www.indoaminesltd.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1990,Listed,,,,15,,88,24,600017,113,044- 28342111    ,044- 28341280  ,info@indoasiafinance.com,www.indoasianfinance.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1991,Listed,,,,Industrial Assurance Building,,67,15,400020,113,,,indobiotechfoodsltd@gmail.com ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1994,Listed,,,,A 729,,132,15,400705,113,,,,www.indobonito.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1980,Listed,,,,"302, Link Rose",,67,15,400054,113,022-26489142,,complianceofficer@indoborax.com,www.indoborax.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1994,Listed,,,,1646,,261,8,125001,113,01662- 73081 73616   ,01662- 32436  ,--,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1995,Listed,,,,Delhi Mile Stone,,235,8,132103,113,-4001107,-4001107,info@indocotspin.com / cs@indocotspin.com / rajpalaggarwal2000@yahoo.com,www.indocotspin.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1988,Listed,,,,"1 , Plot 266, Village Alte",,66,15,416109,113,,,info@indocount.com,www.indocount.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1993,Listed,,,,"304, Kaling",,23,7,380009,113,079- 26580366  ,079- 26580366  ,indocredit@rediffmail.com/info@indocreditcaoital.com,www.indocreditcapital.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1990,Listed,,,,"B-9 To B-16,",,321,15,413501,113,022-26135626,022-26191817,rinkupoly@rediffmail.com,www.indoeuroindchem.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1981,Listed,,,,"213, Rectangle-1",,19,33,110017,113,(91)-9711991047,,igilmaizapur@rediffmail.com,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1982,Listed,,,,1st Floor B,,68,15,440013,113,"0712-6611216 , 2592255",0712-6611217,ipselnkg@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1986,Listed,,,,"31- A, M I D C Industrial Area",,68,15,441122,113,91-07104-663000-01   ,91-07104-663200,investor-relations@indorama-ind.com,www.indoramaindia.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1992,Listed,,,,"D P : 36 , S I D C O Industrial Estate",,88,24,600124,113,044 - 3028 9830 / 9833 / 9836,044 - 3028 9874,bala@indo-tech.com,www.prolecge.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1995,Listed,,,,"Capital Tower, 2nd Floor",,60,14,452010,113,,,indothaigroup@indothai.co.in,www.indothai.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1995,Listed,,,,,,37,8,122103,113,     ,-- ,--,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1995,Listed,,,,"Tttv Chambers, H.no.8-2-608/1/4&5",,3,1,500034,113,,,indoasian95@yahoo.com,www.indo-asian.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1992,Listed,,,,"A 6, Mittal Estate",,67,15,400059,113,022 - 2850 5903,022 - 2850 6276,contact.indocity@gmail.com,www.indo-city.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1947,Listed,,,,Indoco House,,67,15,400098,113,022-26541851-55,022-26520787,,www.indoco.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1983,Listed,,,,"3 B, Alipore Avenue",,109,28,700027,113,91-033-22104651,91-033-22303115,indo.jrd@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1992,Listed,,,,D/9,,67,15,400016,113,022- 24450897    ,022- 24450897  ,--,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1993,Listed,,,,100-A,,88,24,600019,113,044- 25733780 25731863 55871430  ,044- 25731567  ,--,www.indogerma.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Listed,,,,,,,1,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1964,Listed,,,,Khatau House,,67,15,400016,113,022 - 61236767 / 61236711,022 - 61236711,"iklsecretarial@gmail.com , secretarial@indokem.co.in",www.indokem.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1972,Listed,,,,Lakshmi Bhavan,,88,24,600006,113,,,jsrinivasan@nippobatteries.com,www.nippobatteries.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1960,Listed,,,,71 Empire Bldg 2nd Floor,,67,15,400001,113,,,indowire@sancharnet.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2005,Listed,,,,C-12,,19,33,110065,113,91-11-26841375,91-11-26843949,investors@indosolar.co.in,www.indosolar.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1984,Listed,,,,"No: Sf-2, Iind Floor",,7,1,520010,113,,,ssrfcs@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1995,Listed,,,,Kothari Buildings 4th Floor,,88,24,600034,113,91-44-28330867/28331310,91-44-28330208,contact@indowind.com,www.indowind.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1984,Listed,,,,"406, Airen Heights, Opp.orbit Mall,",,60,14,452010,113,0731-2553791/92,0731-2553793,shriindra@gmail.com,www.indraindustries.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1998,Listed,,,,"I G L Bhawan , Plot No . 4",,19,33,110022,113,011 - 46074607    ,011 - 26171860 / 26171863 ,skjain@igl.co.in / investors@igl.co.in,www.iglonline.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1988,Listed,,,,Sarita Vihar,,19,33,110076,113,011- 26925858 26925801   ,011- 26825601  ,asinghal@apollohospitals.com.,www.apollohospdelhi.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1992,Listed,,,,"1133 / 5 , F C Road",,70,15,411016,113,91-20-27290099,,info@indrayani.com,www.indrayani.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1990,Listed,,,,Indsil House,,89,24,641002,113,0442-4522922/23/24,0422-4522925,indsilho@indsil.com,www.indsil.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1980,Listed,,,,1111 A,,67,15,400021,113,022 - 22852797 22852796   ,022 - 56324648  ,info@indsoya.in,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1995,Listed,,,,S C O 850,,14,30,160101,113,172-2730503/2730920/5061850/51/52/53,172-2730504,investor@indswiftlabs.com,www.indswiftlabs.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1986,Listed,,,,781,,14,30,160002,113,-2639648,-2652323,info@indswift.com,www.indswift.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1972,Listed,,,,K-157 Sarita Vihar,,19,33,110076,113,,,induengg.agra@gmail.com,www.induengineeringltd.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1979,Listed,,,,Bajwa - Chhani Road,,33,7,391310,113,0265- 5544687    ,-- ,--,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1985,Listed,,,,Jukaso House,,67,15,400072,113,022- 8561139 8561141 8561142  ,022- 8511229  ,--,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1988,Listed,,,,"156, Maker Chamber V I",,67,15,400021,113,022-2204 3211,022-2204 3215 ,contact@hafivanagroup.com,www.hariyanagroup.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1999,Listed,,,,Survey No . 285,,43,12,562123,113,08118-7733501 - 506,08118-7733516,,www.indusfila.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1992,Listed,,,,"Kothari Building,  4th Floor",,88,24,600034,113,044-28330867 / 28331310,044-28330208,contact@indusfinance.in,www.indusfinance.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1996,Listed,,,,Plot No 312,,3,1,500033,113,040 - 2354 0588,040 - 2354 1022,info@indusnetworks.com,www.indusnetworks.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1994,Listed,,,,"2401 , Gen Thimmayya Road ",,70,15,411001,113,-26343156,-26343170,investor@indusind.com,www.indusind.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1987,Listed,,,,"238 B, A J C Bose Road",,109,28,700020,113,3322879266,3322871874,induss@vsnl.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1913,Listed,,,,125 Maker Chambers I I I ,,67,15,400021,113,022- 22854243    ,,indpru@vsnl.net,www.industrialprudential.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1963,Listed,,,,"2, N. C. Dutta Sarani",,109,28,700001,113,91-033-22432733,91-033-30936433,vcsekar@chamong.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1933,Listed,,,,"14 E, Rajabahadur Mansion",,67,15,400001,113,022- 43250100,022- 22651105  ,iitl@iitlgroup.com,www.iitlgroup.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1984,Listed,,,,422,,67,15,400021,113,,,contact@inertiasteel.com,www.inertiasteel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1999,Listed,,,,"155, Somdutt Chambers  I I",,19,33,110066,113,011-4615 0845,+91 11 46150830,ipo@infinite.com,www.infinite.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1995,Listed,,,,G F-12 A,,19,33,110019,113,91-011-26463894 ,,investors@naukri.com,www.infoedge.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1988,Listed,,,,Buhari Buildings,,88,24,600006,113,91 -44-28212368,91 -44-28212609,info@infodriveservices.com,www.infodriveservices.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1955,Listed,,,,"503, 504 & 507, 5th Floor",,19,33,110001,113,+91 011 4981 2600,+91 011 6150 6115,investors@infomedia18.in,www.infomediapress.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1994,Listed,,,,Village Gujartola,,151,27,228001,113,,,informationtechnologiesindia@yahoo.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1958,Listed,,,,Nirmal,,67,15,400021,113,022 - 22023055 / 22023066   ,022 - 22043162  ,itil_investor@informed-tech.com,www.informed-tech.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1981,Listed,,,,Plot No. 44 & 97 A,,43,12,560100,113,91-080-28520261    ,91-080-28520362  ,investors@infosys.com,www.infosys.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1994,Listed,,,,"205, Center Point",,67,15,400059,113,68.99999998,-40052885,"info@ecoreco.com, shareholders@ecoreco.com","www.ecoreco.com, www.de-end.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1989,Listed,,,,7th Floor,,67,15,400001,113,022- 32946372 / 66308464  ,022- 66308469,investors@infra.co.in,www.infra.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1994,Listed,,,,"203, Baldev Apartment",,60,14,452001,113,,,infoquest_software@yahoo.com,www.infoquestindia.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2000,Listed,,,,"Plot No:16, Srila Realty Layout, Near Landmark Towers",,3,1,500049,113,,,info@infronics.com,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1930,Listed,,,,Ing Vysya House,,43,12,560001,113,"080-25005000 , 25005770",080-25005555 / 25559212,sharecare@ingvysyabank.com,www.ingvysyabank.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1921,Listed,,,,Plot No. 35,,43,12,562109,113,,,prashant_chakravarty@irco.com,www.ingersollrand.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1992,Listed,,,,29,,67,15,400001,113,     ,-- ,--,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1978,Listed,,,,"800, Sangita Ellipse",,67,15,400057,113,022-66339579,,inlandprinter@gmail.com,www.inlandprinters.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1994,Listed,,,,Plot No 41,,3,1,500076,113,"91-040-65990114, 27158152",91-040 -27179628,info@innocorpltd.com,www.innosofttechnologies.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2008,Listed,,,,Building No. C-2/3,,173,15,410203,113,02192- 260100/260224,2192 263268,secretarial@innovassynthinvestments.in,www.innovassynthinvestments.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1992,Listed,,,,"No. 3, 2nd Floor",,88,24,600033,113,044-24712274 ,,kbcchennai@gmail.com,www.innovationsoft.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1989,Listed,,,,51,,37,8,122103,113,0124- 2363540 / 2362567   ,0124- 2363540  ,grievance@itplgroup.com,www.itplgroup.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1991,Listed,,,,Gat No. 56/4/5,,70,15,412208,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1985,Listed,,,,Office No. 601 & 602,,70,15,411001,113,-66203478,-66203478,investor.grievance@innoventure.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1985,Listed,,,,B,,70,15,411021,113,020- 25889701    ,-- ,--,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1999,Listed,,,,Abs Towers,,33,7,390007,113,91-0265-3081111/2339458   ,91-0265-2310312  ,investors@inoxmovies.com,www.inoxmovies.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2009,Listed,,,,Plot No. 1,,40,9,174103,113,+91 1975 272001,+91 1975 272001,investors.iwl@inoxwind.com,www.inoxwind.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1996,Listed,,,,401-402,,19,33,110033,113,(011) 2767 1990 - 04,(011) 2767 1990 - 04,investor@insecticidesindia.com,www.insecticidesindia.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1988,Listed,,,,A 5,,151,27,244223,113,"(0) 98378 23893, 98379 23893",(05924) 252348,mcscomplaintsdel@mcsdel.com,www.insilcoindia.com /www.evonik.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1990,Listed,,,,"205, Unique Centre",,33,7,390005,113,,,investor.relations@sdfcl.com,www.sdfcl.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1994,Listed,,,,"701, Manjusha Building",,19,33,110019,113,-154994,-46522253,complianceofficer@inteccapital.com,www.inteccapital.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1990,Listed,,,,32,,19,33,110001,113,011-23361532,,icml1990@gmail.com,www.integraprofit.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1981,Listed,,,,Chandrapura Village,,29,7,389350,113,"91-02676- 221870, 221872-74",91-02676- 220887  ,"info@integraengineering.in, secretarial@integraengineering.in",www.integraengineering.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2007,Listed,,,,Plot No. G-2 Midc Industrial Estate,,68,15,441108,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1987,Listed,,,,"Ff 10, Unaddeep Complex",,33,7,390010,113,,,binal.trivedi@ihc.co.in,www.ihc.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1992,Listed,,,,10,,33,7,391243,113,0265- 2831195 2642284 2830144  ,0265- 2644585  ,mcb@integraindia.com,www.integraindia.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1985,Listed,,,,"2283, Sector - D",,19,33,110070,113,,,cs@integratelesoftware.com,www.integratelesoftware.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1988,Listed,,,,Lakshmi Industrial Premises Co Op Society Ltd,,67,15,400013,113,022- 24965639 /55838636   ,022- 56607855  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1993,Listed,,,,606,,19,33,110001,113,,,zimper@vsnl.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1983,Listed,,,,"No. 10, R Block, 2nd Floor",,88,24,600017,113,44- 28150454/28153552/28154717  ,44- 28155673  ,hosect@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1992,Listed,,,,303-304,,19,33,110001,113,"+91-011- 23322136 23322143 23314307 23314308, 23351068 / 137 / 23326718 ",-23710680,investors@integratedfinancial.in,www.integratedfinancial.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1993,Listed,,,,Cisons Complex,,88,24,600008,113,044- 28514406 28514407   ,044- 28586599  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1992,Listed,,,,5th Floor,,140,7,361008,113,0288 - 2551901 / 902 / 903 ,-- ,--,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1990,Listed,,,,Rubian Complex,,465,13,688534,113,91 484 3231699,91 478 2872389,kptfcs@gmail.com ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1986,Listed,,,,C-24,,19,33,110024,113,,,info@integratedtech.co.in,www.integratedtech.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1994,Listed,,,,Survey No 375,,319,1,502334,113,9848019282,08454- 250579  ,Itlhyd1@yahoo.com,www.IntegratedThermo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2011,Listed,,,,No.244,,88,24,600006,113,044 3987 4000,,company.secretary@polarisft.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2011,Listed,,,,"66/1, Hansa Villa",,67,15,400019,113,091-022-24034235,091-022-24031691,secretarial@intellivatecapital.com,www.intellivatecapital.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1982,Listed,,,,"66/1, Hansa Villa",,67,15,400019,113,022- 24034235,022- 24031691   ,secretarial@intellivatecapital.com,www.intellivatecapital.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1995,Listed,,,,"Unit No. 603, Sigma I T Park",,132,15,400701,113,022- 30017001,022- 30017000,sales@intellvisions.com,www.intellvisions.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1990,Listed,,,,A1,,3,1,500009,113,"040- 44558585, 27849019",040- 27819040  ,nfo@intense.in,www.in10stech.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
